Group G-1:,,,,
==================================================,,,,
,,,,
Team 1,,,,
--------------------------------------------------,,,,
1. 5002, Aarav Singh, CCDS, Male,4.02
1. 2862, Mingyu, SBS, Female,4
2. 1779, Misha Binti Noor, SoH, Female,4.05
3. 3737, Niharika Roy, ASE, Female,4.12
4. 751, Pei Li, WKW SCI, Male,4.52
5. 2649, Qingxian, EEE, Male,4
,,,,
Team 518,,,,
--------------------------------------------------,,,,
1. 2639, Olivia Wu, CCEB, Female,4.11
2. 5072, Nina Li, MAE, Female,3.91
3. 5385, Phoebe Lim, NIE, Female,4.2
4. 1473, Veer Singh, ASE, Male,3.88
5. 2806, Yuan Wei, SPMS, Male,4.12
,,,,
Team 519,,,,
--------------------------------------------------,,,,
1. 848, Ruocong, CoB (NBS), Female,4.05
2. 3075, Samantha Brown, CCEB, Female,4
3. 2665, Siti Rahman, MAE, Female,3.89
4. 2819, Yuan Zhang, EEE, Male,4.25
5. 4832, Yuri Cruz, MSE, Male,4
,,,,
Team 520,,,,
--------------------------------------------------,,,,
1. 2466, Vinny Rivera, MAE, Male,4.08
2. 3144, Zhi Yi Ng, CoE, Male,4.15
3. 1424, Tania Das, CCDS, Female,3.88
4. 4562, Xiaoyu Zhang, CoB (NBS), Female,4.03
5. 5423, Yasmin Khan, MAE, Female,4.02
,,,,
Group G-53:,,,,
==================================================,,,,
,,,,
Team 521,,,,
--------------------------------------------------,,,,
1. 5984, Aidan Ong, CCDS, Male,4.03
2. 819, Ashton Yang, WKW SCI, Male,4.06
3. 4260, Aihua, CoB (NBS), Female,3.9
4. 2415, Ayden Clark, CEE, Male,4.15
5. 1365, Chloe Lin, CCEB, Female,4.14
,,,,
Team 522,,,,
--------------------------------------------------,,,,
1. 476, Dylan King, SPMS, Male,4.06
2. 1984, Eli Morales, CCEB, Male,4.22
3. 3200, Emily Mitchell, CoB (NBS), Female,3.92
4. 5014, Fina Rahmawati, EEE, Female,4.1
5. 4405, Gianna Lopez, CCDS, Female,4.12
,,,,
Team 523,,,,
--------------------------------------------------,,,,
1. 5281, Finn Ramirez, CCEB, Male,4.18
2. 978, Grayson Lee, EEE, Male,4.02
3. 1103, Grace Walker, MSE, Female,4.02
4. 12, Henry Wood, LKCMedicine, Male,4.09
5. 3652, Hui Xin, SBS, Female,4.1
,,,,
Team 524,,,,
--------------------------------------------------,,,,
1. 2026, Hui Xuan, NIE, Female,4.2
2. 1731, Iqra Awan, CCEB, Female,4.09
3. 971, Jae-Won Oh, CCDS, Male,4.2
4. 4959, Jing Xu, EEE, Male,3.89
5. 5955, John Walker, CoB (NBS), Male,4.02
,,,,
Team 525,,,,
--------------------------------------------------,,,,
1. 3904, Jessica Wright, CCDS, Female,4.18
2. 1040, Laxmi Joshi, CoB (NBS), Female,4.02
3. 3030, Liang Gao, CEE, Male,4.22
4. 1570, Lola Martinez, SSS, Female,4.22
5. 2927, Nash Wong, SoH, Male,3.92
,,,,
Team 526,,,,
--------------------------------------------------,,,,
1. 2348, Kaden Hernandez, CCDS, Male,4.12
2. 634, Nathan Ong, CoB (NBS), Male,4.16
3. 741, Maya Perry, MSE, Female,4.14
4. 5115, Nadia Binti Rahman, CCEB, Female,4.04
5. 4924, Nadia Binti Zain, SSS, Female,4
,,,,
Team 527,,,,
--------------------------------------------------,,,,
1. 2354, Lijuan, CCDS, Female,4.15
2. 5541, Naina Rani, CoE, Female,4.02
3. 4816, Neha Singh, EEE, Female,4.03
4. 4325, Samir Patel, ADM, Male,4.15
5. 3754, Tariq Malik, MSE, Male,4.18
,,,,
Team 528,,,,
--------------------------------------------------,,,,
1. 2396, Nisha Binti, ASE, Female,4.02
2. 5863, Ophelia Harris, EEE, Female,4.06
3. 4007, Omar Tan, CCDS, Male,4.05
4. 3928, Shahid Hussain, CCEB, Female,4.05
5. 3183, Vinny Rivera, LKCMedicine, Male,4.04
,,,,
Team 529,,,,
--------------------------------------------------,,,,
1. 3588, Riku Saito, CCDS, Male,4.12
2. 87, Zhang Li, CoE, Male,4.1
3. 2669, Rina Lim, EEE, Female,4.15
4. 1001, Siena Chang, CoB (NBS), Female,3.91
5. 730, Sulekha Yadav, MAE, Female,4.06
,,,,
Team 530,,,,
--------------------------------------------------,,,,
1. 2628, Tanvi Joshi, EEE, Female,4.08
2. 1420, Yao Chen, CCDS, Female,4.12
3. 2500, Zhen Zhou, NIE, Male,3.8
4. 58, Wira Setiawan, CCDS, Male,4.15
5. 990, Zara Kumar, CCDS, Female,4.08
,,,,
Group G-54:,,,,
==================================================,,,,
,,,,
Team 531,,,,
--------------------------------------------------,,,,
1. 2528, Aariv Patel, EEE, Male,4.04
2. 1997, Bradley Wong, MAE, Male,4.1
3. 833, Aaliyah Sanders, SSS, Female,3.88
4. 4335, Aisha Tan, CCDS, Female,4.02
5. 2641, Anya Dela Cruz, SoH, Female,4.04
,,,,
Team 532,,,,
--------------------------------------------------,,,,
1. 3140, Akiko Yamashita, CCDS, Female,4.17
2. 507, Aoi Sakamoto, CCEB, Female,3.88
3. 5473, Brady Yang, SSS, Male,4.19
4. 617, David Brown, EEE, Male,4.2
5. 4594, Emma Wang, LKCMedicine, Female,4.15
,,,,
Team 533,,,,
--------------------------------------------------,,,,
1. 388, Charlotte Ortiz, CCEB, Female,4.14
2. 200, Elya Fitria, CCDS, Female,4.05
3. 5060, Fariha Malik, CoB (NBS), Female,4.09
4. 2676, Hieu Nguyen, EEE, Male,4.1
5. 4955, Isaiah Moore, WKW SCI, Male,4.14
,,,,
Team 534,,,,
--------------------------------------------------,,,,
1. 1178, Derek Tan, CCDS, Male,4.09
2. 2320, Jordan Washington, CEE, Male,4.19
3. 5342, Haley Santos, CCEB, Female,4.2
4. 1881, Jing Yu, CoB (NBS), Female,4.27
5. 2308, Kaira Singh, EEE, Female,4.03
,,,,
Team 535,,,,
--------------------------------------------------,,,,
1. 4922, Jameson Cruz, CCDS, Male,4.1
2. 136, Marcus Turner, SPMS, Male,4.03
3. 3871, Kayla Brooks, CoB (NBS), Female,4.04
4. 5137, Lena Tan, EEE, Female,4.02
5. 5109, Maya Wang, SoH, Female,4.06
,,,,
Team 536,,,,
--------------------------------------------------,,,,
1. 5547, Jonathan Yang, CCDS, Male,4.03
2. 3121, Muhammad Amir, SPMS, Male,4.15
3. 1079, Miranda Wang, ADM, Female,4.15
4. 3739, Nabihah Binti Rahman, SBS, Female,4.73
5. 1220, Piper Reyes, CoE, Female,4
,,,,
Team 537,,,,
--------------------------------------------------,,,,
1. 158, Liam Yang, CCDS, Male,4.12
2. 1712, Rohan Joshi, EEE, Male,4.05
3. 309, Rani Kurnia, ADM, Female,4.05
4. 2242, Rina Matsumoto, CoB (NBS), Female,4.2
5. 5667, Sandeep Sharma, SBS, Male,4.11
,,,,
Team 538,,,,
--------------------------------------------------,,,,
1. 2621, Malcolm Chen, CCDS, Male,4.18
2. 4584, Yuri Sokolov, WKW SCI, Male,4.17
3. 4674, Pratiwi Sari, EEE, Female,4.15
4. 5430, Sara Lee, CoE, Female,4.11
5. 4301, Sophie Sanders, SSS, Female,3.87
,,,,
Team 539,,,,
--------------------------------------------------,,,,
1. 3604, Rameez Khan, CCDS, Female,4.19
2. 5353, Siti Zainab, EEE, Female,3.9
3. 2740, Talia Lin, CCEB, Female,4.1
4. 4, Zhang Li, SBS, Male,4.25
5. 2424, Tarun Singh, CCDS, Male,4.14
,,,,
Team 540,,,,
--------------------------------------------------,,,,
1. 4340, Tina Goh, SSS, Female,4.2
2. 756, Yasmin Wong, CoB (NBS), Female,4.03
3. 4863, Wyatt Cheung, CCDS, Male,4.22
4. 5831, Zhen Wei, MSE, Female,4.25
5. 1483, Yasmine Kwan, CoB (NBS), Female,4.19
,,,,
Group G-55:,,,,
==================================================,,,,
,,,,
Team 541,,,,
--------------------------------------------------,,,,
1. 4706, Alina Yeo, SoH, Female,4.2
2. 4164, Anjali Mehta, EEE, Female,3.85
3. 5941, Ashok Pillai, ASE, Male,4.09
4. 712, Autumn Powell, SSS, Female,4.05
5. 4362, Axel Liu, CoE, Male,4.08
,,,,
Team 542,,,,
--------------------------------------------------,,,,
1. 4152, Ava Chen, MAE, Female,4.2
2. 2699, Brenda Li, LKCMedicine, Female,4.05
3. 694, Clara Wu, CoB (NBS), Female,4.08
4. 5660, Connor Murphy, SoH, Male,4.11
5. 2175, Deepak Kumar, EEE, Male,4.09
,,,,
Team 543,,,,
--------------------------------------------------,,,,
1. 5314, Dmitry Alekseev, CCDS, Male,4.18
2. 3234, Dylan Anderson, SSS, Male,4.05
3. 1370, Dylan Ong, SBS, Male,4.11
4. 4965, Ella Robinson, SPMS, Female,3.9
5. 755, Fatima Syed, CoB (NBS), Female,4.18
,,,,
Team 544,,,,
--------------------------------------------------,,,,
1. 3102, Faris Aji, MSE, Male,4.15
2. 1281, Gavin Kim, WKW SCI, Male,4.14
3. 2718, Grace Rogers, SPMS, Female,4.03
4. 3764, Hafizah Binti Rahman, CCEB, Female,4.25
5. 144, Harlan Wu, CEE, Male,4.2
,,,,
Team 545,,,,
--------------------------------------------------,,,,
1. 3759, Irfan Bin Mohd, MAE, Male,4
2. 1546, Kieran Villanueva, EEE, Male,4.2
3. 1571, Isabella Rossellini, CoB (NBS), Female,3.88
4. 3832, Lucas Cox, SPMS, Male,4.15
5. 3814, Ly Nguyen, CCEB, Female,4.17
,,,,
Team 546,,,,
--------------------------------------------------,,,,
1. 4002, Kye Wu, EEE, Male,4.2
2. 1599, Mason Carter, CoE, Male,4.02
3. 3723, Maya Chang, MAE, Female,4
4. 3328, Nadia Binti Noor, SBS, Female,4
5. 364, Nadia Rehman, SoH, Female,4.2
,,,,
Team 547,,,,
--------------------------------------------------,,,,
1. 3488, Nguyen Thanh Tam, EEE, Female,4.09
2. 5463, Serena Chen, CoE, Female,4.2
3. 5303, Ray Tan, SBS, Male,4.21
4. 962, Sushmita Das, MAE, Female,4.15
5. 3955, Thomas Wu, CCDS, Male,4.09
,,,,
Team 548,,,,
--------------------------------------------------,,,,
1. 726, Owen Chen, EEE, Male,4.15
2. 405, Tobias Wu, SoH, Male,4.25
3. 4852, Tessa Bennett, CoB (NBS), Female,4.1
4. 2837, Xavier Salazar, CCDS, Male,4.12
5. 2615, Priya Sharma, EEE, Female,3.95
,,,,
Team 549,,,,
--------------------------------------------------,,,,
1. 1636, Saad Khatri, EEE, Male,4.09
2. 1204, Vladislav Nikiforov, SoH, Male,4.05
3. 4337, Yuri Salazar, MAE, Male,4.05
4. 187, Veronica Zhao, EEE, Female,4.12
5. 4817, Xiao Mei, EEE, Female,4.12
,,,,
Team 550,,,,
--------------------------------------------------,,,,
1. 658, Talha Ali, EEE, Male,4.05
2. 1769, Yusuf Bin Ahmad, SoH, Male,4
3. 4122, Zain Tran, CoB (NBS), Male,4.02
4. 4652, Victor So, EEE, Male,4
5. 4374, Xavier Lee, EEE, Male,4.06
,,,,
Group G-56:,,,,
==================================================,,,,
,,,,
Team 551,,,,
--------------------------------------------------,,,,
1. 3219, Aishwarya Rao, ADM, Female,4.04
2. 5486, Ananya Bansal, CCEB, Female,4.11
3. 5924, Ashley Castillo, EEE, Female,4.21
4. 1566, Cyrus Liu, CoB (NBS), Male,3.89
5. 3449, Daniel Taylor, SPMS, Male,4.14
,,,,
Team 552,,,,
--------------------------------------------------,,,,
1. 4267, Aubrey Sanchez, CoE, Female,4.03
2. 2489, Becky Adams, ADM, Female,4.03
3. 4963, Bushra Ali, CoB (NBS), Female,4.05
4. 2726, Derek Wong, CCDS, Male,4.08
5. 1263, Finn Tan, SBS, Male,4.18
,,,,
Team 553,,,,
--------------------------------------------------,,,,
1. 3479, Darren Yeo, CoE, Male,4.12
2. 3872, Floyd Mendoza, CEE, Male,4.09
3. 428, Diana Wong, CoB (NBS), Female,3.89
4. 1014, Fay Wong, EEE, Female,4.08
5. 5293, Florence Ong, SSS, Female,4.12
,,,,
Team 554,,,,
--------------------------------------------------,,,,
1. 2123, Elsie Ward, CoB (NBS), Female,4.04
2. 4454, Fengyi, EEE, Female,4.05
3. 2506, Jackson Carter, MAE, Male,4.08
4. 5876, Jackson Cruz, CEE, Male,4.11
5. 936, Jasmine Lee, SoH, Female,4
,,,,
Team 555,,,,
--------------------------------------------------,,,,
1. 1958, James Turner, EEE, Male,4.08
2. 4570, Jasper Green, CoE, Male,3.86
3. 910, Jing Lin Tan, NIE, Male,4.2
4. 1180, Karla Mendoza, CoB (NBS), Female,4.08
5. 1741, Lydia Young, SPMS, Female,4.12
,,,,
Team 556,,,,
--------------------------------------------------,,,,
1. 3129, Keira Tan, CoB (NBS), Female,3.95
2. 5949, Kylie Hughes, EEE, Female,3.89
3. 3906, Kael Huang, ADM, Male,4.22
4. 3305, Krishna Kumar, CCEB, Male,3.95
5. 4018, Maya Wong, SPMS, Female,3.94
,,,,
Team 557,,,,
--------------------------------------------------,,,,
1. 1832, Lai Thi Ngan, CoB (NBS), Female,3.92
2. 3753, Mei Xuan Lim, CEE, Female,4.1
3. 2885, Nafisa Iqbal, CCEB, Female,4.22
4. 2493, Rizal Bin Ibrahim, ASE, Male,4.05
5. 5819, Seng Hua Lim, SoH, Male,4.3
,,,,
Team 558,,,,
--------------------------------------------------,,,,
1. 1485, Natalie Ong, EEE, Female,4.15
2. 3064, Nguyen Thi An, SPMS, Female,4.06
3. 4154, Nguyen Thi Trang, MAE, Female,4
4. 4145, Sami Al-Mansoori, CoB (NBS), Male,4.08
5. 5795, Ulysses Wong, WKW SCI, Male,3.9
,,,,
Team 559,,,,
--------------------------------------------------,,,,
1. 556, Nora Simmons, SBS, Female,4.01
2. 387, Olivia Bell, SSS, Female,4
3. 3938, Qinwen, CCEB, Female,4.1
4. 1494, Yong Chen, CCDS, Male,4.18
5. 1508, Yun Chen, MAE, Male,4.01
,,,,
Team 560,,,,
--------------------------------------------------,,,,
1. 3014, Wei Lin, LKCMedicine, Female,4.15
2. 4491, Riya Iyer, SoH, Female,4.22
3. 803, Wen Lee Tan, EEE, Female,4.05
4. 710, Yasmine Price, CEE, Female,4.03
5. 5238, Yuki Tan, CCEB, Female,4.16
,,,,
Group G-57:,,,,
==================================================,,,,
,,,,
Team 561,,,,
--------------------------------------------------,,,,
1. 5391, Addison Cooper, EEE, Female,4.01
2. 4950, Aiko Yoshida, CCEB, Female,3.94
3. 646, Ananya Das, SSS, Female,4.08
4. 1920, Ashok Reddy, NIE, Male,3.95
5. 5306, Harsh Patel, WKW SCI, Male,3.89
,,,,
Team 562,,,,
--------------------------------------------------,,,,
1. 234, Asha Kakade, MAE, Female,4.08
2. 4730, Charlotte Chang, CoE, Female,4.04
3. 2557, Elena Mikhailovna, EEE, Female,3.89
4. 3896, Irfan Bin Zain, NIE, Male,4.02
5. 2667, Jin Zhi Lim, SoH, Male,3.9
,,,,
Team 563,,,,
--------------------------------------------------,,,,
1. 157, Fatimah Omar, SoH, Female,4.03
2. 217, Grace Bell, CoB (NBS), Female,4.01
3. 2568, Ethan Smith, EEE, Male,3.89
4. 4171, Hannah Lee, MAE, Female,4.12
5. 5957, Jude Ong, CCDS, Male,4.12
,,,,
Team 564,,,,
--------------------------------------------------,,,,
1. 1531, Grayson Lee, EEE, Male,4.01
2. 2016, Jaxon Hall, MAE, Male,3.9
3. 5131, Harper Robinson, CCEB, Female,4.2
4. 4136, Isha Kapoor, SPMS, Female,4.02
5. 2408, Leo Santos, CoB (NBS), Male,4.09
,,,,
Team 565,,,,
--------------------------------------------------,,,,
1. 1647, Jenna Tan, MAE, Female,4.11
2. 1886, Li Ming, CCEB, Female,4.05
3. 4395, Lina Zhou, MSE, Female,4.2
4. 1703, Matthew Perez, EEE, Male,4.01
5. 1467, Oliver Wu, CCDS, Male,4.17
,,,,
Team 566,,,,
--------------------------------------------------,,,,
1. 3940, Kaylee Turner, MAE, Female,4.02
2. 420, Liang Wei Tan, CCEB, Female,4.2
3. 5354, Maya Bansal, CoE, Female,4.02
4. 1213, Noah Murphy, EEE, Male,4.15
5. 1755, Saad Khan, CCDS, Male,4.09
,,,,
Team 567,,,,
--------------------------------------------------,,,,
1. 3459, Lola Wu, CCEB, Female,4.06
2. 518, Meher Noor, NIE, Female,4.17
3. 4023, Nina Ali, CCDS, Female,4.22
4. 922, Rajesh Sharma, MAE, Male,4.08
5. 4915, Theo Santos, EEE, Male,4.09
,,,,
Team 568,,,,
--------------------------------------------------,,,,
1. 1772, Nina Zhang, MAE, Female,4.18
2. 4250, Pooja Reddy, CCDS, Female,4.02
3. 3929, Rhea Kaur, ASE, Female,4.06
4. 3106, Tobias Li, SBS, Male,4.12
5. 1208, Vivek Iyer, CEE, Male,4.09
,,,,
Team 569,,,,
--------------------------------------------------,,,,
1. 1900, Riku Yamamoto, MAE, Male,4.15
2. 3486, Soren Liu, CCDS, Male,4.04
3. 4489, Ritika Das, CCEB, Female,4.03
4. 1110, Riya Nair, CoB (NBS), Female,4
5. 4936, Sadia Javed, SBS, Female,3.95
,,,,
Team 570,,,,
--------------------------------------------------,,,,
1. 1849, Savannah Thompson, CCEB, Female,4.02
2. 4948, Sofia Ng, MAE, Female,4.01
3. 3134, Soo-Yeon Park, EEE, Female,4.03
4. 1258, William Stewart, CCDS, Male,4.11
5. 1935, Yuri Viktorov, ADM, Male,4.05
,,,,
Group G-58:,,,,
==================================================,,,,
,,,,
Team 571,,,,
--------------------------------------------------,,,,
1. 95, Abigail Rodriguez, CCEB, Female,4.02
2. 5967, Amina Khan, CoB (NBS), Female,4.03
3. 4969, Alvin Tan, CEE, Male,4.18
4. 5749, Charlotte Zhang, SSS, Female,4.15
5. 2406, Chase Rivera, EEE, Male,4.21
,,,,
Team 572,,,,
--------------------------------------------------,,,,
1. 3785, Amani Yusof, CCEB, Female,4.02
2. 3614, Ellie Sanchez, SSS, Female,4.01
3. 5768, Binh Nguyen, CEE, Male,4.03
4. 314, Chen Li, SoH, Male,4.15
5. 939, Daniel Green, SBS, Male,4.52
,,,,
Team 573,,,,
--------------------------------------------------,,,,
1. 3714, Emily Davis, CCEB, Female,4.16
2. 1999, Erica Lim, CEE, Female,4.2
3. 2682, Eli Martinez, MAE, Male,3.85
4. 5441, Grace Tan, EEE, Female,4.19
5. 964, Kien Tran, CoB (NBS), Male,4.26
,,,,
Team 574,,,,
--------------------------------------------------,,,,
1. 4468, Graham Tsang, EEE, Male,4.23
2. 5530, Kiran Desai, CoE, Male,3.9
3. 5021, Indah Tanjung, CoB (NBS), Female,4.1
4. 1735, Lara Smith, SPMS, Female,4.11
5. 3071, Lumina Tsai, MSE, Female,3.93
,,,,
Team 575,,,,
--------------------------------------------------,,,,
1. 4980, Haarika Reddy, EEE, Female,4.15
2. 2717, Kavya Iyer, CoE, Female,4.14
3. 2095, Malcolm Yang, CoB (NBS), Male,4.11
4. 4363, Reina Fujimoto, SSS, Female,4.19
5. 661, Riyaz Khan, SPMS, Male,4.17
,,,,
Team 576,,,,
--------------------------------------------------,,,,
1. 1024, Jayden Turner, EEE, Male,4.08
2. 2558, Matthew Thompson, CoE, Male,4.23
3. 152, Maya Khan, CoB (NBS), Female,4.05
4. 1128, Rohit Sharma, MAE, Male,4.01
5. 670, Saanvi Sharma, MSE, Female,4.01
,,,,
Team 577,,,,
--------------------------------------------------,,,,
1. 2267, Maya Bennett, EEE, Female,4.03
2. 1406, Meera Choudhury, CoB (NBS), Female,4.03
3. 5096, Owais Tariq, CoE, Male,4.01
4. 1727, Sari Ningsih, SoH, Female,4.25
5. 3653, Scott Santos, CCDS, Male,4.05
,,,,
Team 578,,,,
--------------------------------------------------,,,,
1. 5584, Sable Lin, EEE, Female,4.15
2. 1934, Mei Hwa, CoB (NBS), Female,3.95
3. 4721, Sarita Sharma, CCEB, Female,4.2
4. 627, Simon Tan, CCDS, Male,4.1
5. 3827, Soren Liu, CEE, Male,4.01
,,,,
Team 579,,,,
--------------------------------------------------,,,,
1. 296, Shanaya Chan, EEE, Female,4.03
2. 1106, Tina Yeo, CCDS, Female,4.1
3. 3876, Shalini Reddy, CEE, Female,3.85
4. 3235, Timothy Reed, CoB (NBS), Male,4.19
5. 1439, Ryan Zhao, EEE, Male,4.26
,,,,
Team 580,,,,
--------------------------------------------------,,,,
1. 3483, Wei Li, SBS, Female,4.12
2. 3697, Yasmin Tan, MAE, Female,4.05
3. 2532, Sami Khan, EEE, Male,3.93
4. 4623, Uma Parker, CCDS, Female,4.52
5. 4790, Yvette Chan, SoH, Female,4.1
,,,,
Group G-59:,,,,
==================================================,,,,
,,,,
Team 581,,,,
--------------------------------------------------,,,,
1. 4813, Aaron Wu, CEE, Male,4.02
2. 4458, Axel Liu, NIE, Male,4.18
3. 5616, Addison Clarke, SPMS, Female,4.26
4. 985, Alyssa Scott, CCDS, Female,3.94
5. 138, Alya Binti Rahim, CoB (NBS), Female,4.52
,,,,
Team 582,,,,
--------------------------------------------------,,,,
1. 2760, Bella Brooks, MAE, Female,4.02
2. 134, Chloe Evans, CoB (NBS), Female,4.25
3. 1642, Brayden Young, CoE, Male,4.17
4. 3535, Daisy Cheung, SBS, Female,3.96
5. 4662, Eli Carter, SPMS, Male,3.95
,,,,
Team 583,,,,
--------------------------------------------------,,,,
1. 2892, Derek Scott, SBS, Male,4
2. 5854, Dedy Kurniawan, CoB (NBS), Male,3.85
3. 867, Eka Ramadhan, SoH, Female,4.05
4. 4455, Gunnar Yang, EEE, Male,4.02
5. 4080, Hannah Green, SPMS, Female,4.08
,,,,
Team 584,,,,
--------------------------------------------------,,,,
1. 1833, Fiona Chang, CoB (NBS), Female,4.05
2. 1575, Holly Cheung, MAE, Female,4
3. 1559, Hui Ling, SSS, Female,3.92
4. 5320, Jasper Ortiz, EEE, Male,4.17
5. 3884, Kang-Soo Lee, CCDS, Male,4.11
,,,,
Team 585,,,,
--------------------------------------------------,,,,
1. 5552, Hina Malik, CoB (NBS), Female,4.06
2. 2765, Ivy Thompson, SSS, Female,4.19
3. 3084, Kira Shimizu, MAE, Female,4.09
4. 4914, Miles Lim, CCDS, Male,4.06
5. 3374, Naim Bin Mohamad, CCEB, Male,4.05
,,,,
Team 586,,,,
--------------------------------------------------,,,,
1. 4497, Jeremiah Green, CoB (NBS), Male,4.04
2. 1740, Nasir Ali, WKW SCI, Male,4.21
3. 2154, Lily Huang, MAE, Female,4.02
4. 348, Madison Murphy, EEE, Female,3.86
5. 41, Laras Wati, LKCMedicine, Female,4.73
,,,,
Team 587,,,,
--------------------------------------------------,,,,
1. 3809, Lexi Zhao, CoB (NBS), Female,4.15
2. 557, Nguyen Thi Mai, CCDS, Female,3.9
3. 1138, Nia Tsai, CCEB, Female,4.04
4. 201, Rishi Sharma, WKW SCI, Male,4.01
5. 1533, Sandeep Singh, EEE, Male,4.03
,,,,
Team 588,,,,
--------------------------------------------------,,,,
1. 1334, Milo Cruz, CoB (NBS), Male,4.03
2. 4125, Rizqi Bin Farhan, CCDS, Male,4
3. 792, Opal Wang, SoH, Female,4
4. 1763, Sofia Yang, CEE, Female,4.02
5. 5630, Stella James, EEE, Female,4.01
,,,,
Team 589,,,,
--------------------------------------------------,,,,
1. 5951, Sara Yong, CoB (NBS), Female,4.05
2. 3678, Valentina Mikhailova, CCEB, Female,3.91
3. 3893, Tyler Johnson, CEE, Male,4.12
4. 2183, Zachary Zhang, SSS, Male,4.19
5. 4925, Zhao Chen, SBS, Female,4.09
,,,,
Team 590,,,,
--------------------------------------------------,,,,
1. 5997, Xiang Li, CoB (NBS), Female,4.2
2. 785, Safira Binti Aziz, CoB (NBS), Female,3.8
3. 709, Zhou Chen, EEE, Male,4.1
4. 1739, Ximena Li, CoB (NBS), Female,4.05
5. 3912, Zane Patel, CoB (NBS), Male,4.19
,,,,
Group G-60:,,,,
==================================================,,,,
,,,,
Team 591,,,,
--------------------------------------------------,,,,
1. 2915, Aaron Hall, EEE, Male,4.12
2. 2613, Alexander Cox, CCDS, Male,3.88
3. 3980, Aria Liu, SSS, Female,4.09
4. 3741, Arjun Kumar, SPMS, Male,4.48
5. 31, Cassidy Kim, CoB (NBS), Female,4.12
,,,,
Team 592,,,,
--------------------------------------------------,,,,
1. 2454, Boris Villanueva, MAE, Male,4.09
2. 1073, Carl Lee, CCDS, Male,3.88
3. 381, Chloe Huang, NIE, Female,3.97
4. 3443, Elina Binti Mohd, SoH, Female,4.2
5. 2834, Eva Lee, WKW SCI, Female,4.09
,,,,
Team 593,,,,
--------------------------------------------------,,,,
1. 2143, Fern Lim, MAE, Female,4.09
2. 5803, Diana Lewis, CCDS, Female,3.86
3. 4486, Gage Yang, CEE, Male,4.18
4. 1931, Haoran Wang, CCEB, Male,4.14
5. 718, Heidi Tan, SoH, Female,4.19
,,,,
Team 594,,,,
--------------------------------------------------,,,,
1. 2542, Isaac Rodriguez, SPMS, Male,4.12
2. 4411, Leonardus Budi, CEE, Male,4.05
3. 358, Isabella Torres, SSS, Female,4.15
4. 2244, Juna Wang, MAE, Female,4.17
5. 3684, Kiara Chen, SBS, Female,4.04
,,,,
Team 595,,,,
--------------------------------------------------,,,,
1. 4531, Keng Jie Tan, SPMS, Male,4.12
2. 4011, Liam Reyes, NIE, Male,4.11
3. 170, Liang Chen, SoH, Male,4.14
4. 2072, Lina Chen, EEE, Female,4.18
5. 4394, Linda Chen, LKCMedicine, Female,4.02
,,,,
Team 596,,,,
--------------------------------------------------,,,,
1. 1742, Lucas Thompson, CoE, Male,4
2. 2020, Noel Wu, CoB (NBS), Male,4.08
3. 5524, Nadia Binti Jamil, CCDS, Female,4.1
4. 5964, Nora Jenkins, ADM, Female,4.19
5. 4161, Omer Qureshi, NIE, Male,4.22
,,,,
Team 597,,,,
--------------------------------------------------,,,,
1. 5995, Nandita Roy, CoB (NBS), Female,4.17
2. 413, Pooja Bhatia, SSS, Female,4.01
3. 1819, Pablo Reyes, MSE, Male,4.1
4. 607, Ren Tan, WKW SCI, Male,4.14
5. 1668, Rina Matsui, EEE, Male,4.16
,,,,
Team 598,,,,
--------------------------------------------------,,,,
1. 4285, Owen Wright, CoB (NBS), Male,4.12
2. 5055, Sung-Jin Kim, CCEB, Male,4.18
3. 881, Tamara Tan, MAE, Female,4.09
4. 4650, Vanessa Cabral, SSS, Female,4.09
5. 4707, Wang Li, SPMS, Female,4.11
,,,,
Team 599,,,,
--------------------------------------------------,,,,
1. 652, Puti Rahayu, CoB (NBS), Female,4.2
2. 4441, Yoshiko Sakamoto, SBS, Female,4.14
3. 3931, Yvette Santos, EEE, Female,4.03
4. 4153, Zachary Chen, NIE, Male,4.05
5. 1335, Zhou Min, SoH, Male,4.01
,,,,
Team 600,,,,
--------------------------------------------------,,,,
1. 3006, Ritika Iyer, CoB (NBS), Female,4.01
2. 535, Zhong Wei, SPMS, Female,4.02
3. 1031, Nina Binti Omar, CoB (NBS), Female,3.9
4. 2231, Umair Shah, CoB (NBS), Male,4.2
5. 5968, Sophia Tan, CoB (NBS), Female,4.18
,,,,
Group G-61:,,,,
==================================================,,,,
,,,,
Team 601,,,,
--------------------------------------------------,,,,
1. 2488, Aifen, MAE, Female,4.05
2. 2879, Ananya Kapoor, SSS, Female,4.11
3. 5911, Bunga Sari, CCDS, Female,4.25
4. 728, Elijah Murphy, CoB (NBS), Male,4.03
5. 46, Harsh Sharma, CEE, Male,4
,,,,
Team 602,,,,
--------------------------------------------------,,,,
1. 4665, Aina Binti Zain, MAE, Female,4.05
2. 2272, Cathy Liu, EEE, Female,4.04
3. 5245, Chloe Martinez, CCEB, Female,3.87
4. 5259, Isaac Martinez, CCDS, Male,4.03
5. 1055, Jacob Yang, LKCMedicine, Male,4.18
,,,,
Team 603,,,,
--------------------------------------------------,,,,
1. 608, Cleo Tan, SBS, Female,4.01
2. 5858, Dewi Tan, EEE, Female,4.05
3. 5651, Ella Garcia, CEE, Female,3.92
